protein,present_n_lines,present_n_plex,plexes_present,plexes_absent,absent_from_any_plex,pct_lines_missing,pass_presence50
SLC1A5,31,5,1;2;3;4;5,,FALSE,0,TRUE
RAB30,31,5,1;2;3;4;5,,FALSE,0,TRUE
MLF2,31,5,1;2;3;4;5,,FALSE,0,TRUE
ZKSCAN8,31,5,1;2;3;4;5,,FALSE,0,TRUE
TOMM34,31,5,1;2;3;4;5,,FALSE,0,TRUE
SMAD2,31,5,1;2;3;4;5,,FALSE,0,TRUE
SMAD1,13,2,1;4,2;3;5,TRUE,58.1,FALSE
MSMO1,31,5,1;2;3;4;5,,FALSE,0,TRUE
ITSN1,31,5,1;2;3;4;5,,FALSE,0,TRUE
TBCE,31,5,1;2;3;4;5,,FALSE,0,TRUE
TBCC,31,5,1;2;3;4;5,,FALSE,0,TRUE
UBE2V2,31,5,1;2;3;4;5,,FALSE,0,TRUE
CST6,31,5,1;2;3;4;5,,FALSE,0,TRUE
STXBP2,31,5,1;2;3;4;5,,FALSE,0,TRUE
CCDC85B,7,1,1,2;3;4;5,TRUE,77.4,FALSE
VAMP3,31,5,1;2;3;4;5,,FALSE,0,TRUE
NEDD8,31,5,1;2;3;4;5,,FALSE,0,TRUE
ADIRF,31,5,1;2;3;4;5,,FALSE,0,TRUE
USF2,31,5,1;2;3;4;5,,FALSE,0,TRUE
ATP6AP1,31,5,1;2;3;4;5,,FALSE,0,TRUE
VPS72,31,5,1;2;3;4;5,,FALSE,0,TRUE
RAB11B,31,5,1;2;3;4;5,,FALSE,0,TRUE
EZH2,31,5,1;2;3;4;5,,FALSE,0,TRUE
ZFHX3,31,5,1;2;3;4;5,,FALSE,0,TRUE
ZYX,31,5,1;2;3;4;5,,FALSE,0,TRUE
ETFDH,31,5,1;2;3;4;5,,FALSE,0,TRUE
SNCB,12,2,1;3,2;4;5,TRUE,61.3,FALSE
SEPT7,31,5,1;2;3;4;5,,FALSE,0,TRUE
ADRM1,31,5,1;2;3;4;5,,FALSE,0,TRUE
CCDC6,31,5,1;2;3;4;5,,FALSE,0,TRUE
UAP1,31,5,1;2;3;4;5,,FALSE,0,TRUE
E2F4,31,5,1;2;3;4;5,,FALSE,0,TRUE
IGFBP7,31,5,1;2;3;4;5,,FALSE,0,TRUE
PDCD2,31,5,1;2;3;4;5,,FALSE,0,TRUE
SLC15A2,13,2,4;5,1;2;3,TRUE,58.1,FALSE
INA,31,5,1;2;3;4;5,,FALSE,0,TRUE
LAMA4,24,4,1;2;3;4,5,TRUE,22.6,TRUE
SSX2,7,1,5,1;2;3;4,TRUE,77.4,FALSE
EXT1,19,3,1;3;5,2;4,TRUE,38.7,TRUE
PSMD5,31,5,1;2;3;4;5,,FALSE,0,TRUE
PKN1,31,5,1;2;3;4;5,,FALSE,0,TRUE
PKN2,31,5,1;2;3;4;5,,FALSE,0,TRUE
TAF12,31,5,1;2;3;4;5,,FALSE,0,TRUE
CSRP2,31,5,1;2;3;4;5,,FALSE,0,TRUE
DDB1,31,5,1;2;3;4;5,,FALSE,0,TRUE
PPP2R5E,31,5,1;2;3;4;5,,FALSE,0,TRUE
MAPK14,31,5,1;2;3;4;5,,FALSE,0,TRUE
MRPL23,31,5,1;2;3;4;5,,FALSE,0,TRUE
CDC37,31,5,1;2;3;4;5,,FALSE,0,TRUE
DPYSL2,31,5,1;2;3;4;5,,FALSE,0,TRUE
SYPL1,26,4,1;2;4;5,3,TRUE,16.1,TRUE
RBBP7,31,5,1;2;3;4;5,,FALSE,0,TRUE
TAF9,31,5,1;2;3;4;5,,FALSE,0,TRUE
FXN,31,5,1;2;3;4;5,,FALSE,0,TRUE
ECM1,24,4,2;3;4;5,1,TRUE,22.6,TRUE
BAK1,31,5,1;2;3;4;5,,FALSE,0,TRUE
OCLN,31,5,1;2;3;4;5,,FALSE,0,TRUE
MEA1,31,5,1;2;3;4;5,,FALSE,0,TRUE
SRSF7,31,5,1;2;3;4;5,,FALSE,0,TRUE
CPSF6,31,5,1;2;3;4;5,,FALSE,0,TRUE
SMN1,31,5,1;2;3;4;5,,FALSE,0,TRUE
DBN1,31,5,1;2;3;4;5,,FALSE,0,TRUE
MAPKAPK3,31,5,1;2;3;4;5,,FALSE,0,TRUE
PTGIS,31,5,1;2;3;4;5,,FALSE,0,TRUE
NFIL3,31,5,1;2;3;4;5,,FALSE,0,TRUE
PRSS8,31,5,1;2;3;4;5,,FALSE,0,TRUE
PDK4,31,5,1;2;3;4;5,,FALSE,0,TRUE
NRF1,31,5,1;2;3;4;5,,FALSE,0,TRUE
FSCN1,31,5,1;2;3;4;5,,FALSE,0,TRUE
IFI16,31,5,1;2;3;4;5,,FALSE,0,TRUE
ZSCAN26,20,3,1;2;5,3;4,TRUE,35.5,TRUE
DECR1,31,5,1;2;3;4;5,,FALSE,0,TRUE
MAN2A1,31,5,1;2;3;4;5,,FALSE,0,TRUE
NDUFA5,31,5,1;2;3;4;5,,FALSE,0,TRUE
KYNU,31,5,1;2;3;4;5,,FALSE,0,TRUE
UGCG,31,5,1;2;3;4;5,,FALSE,0,TRUE
CLPP,31,5,1;2;3;4;5,,FALSE,0,TRUE
TST,31,5,1;2;3;4;5,,FALSE,0,TRUE
UBE2S,31,5,1;2;3;4;5,,FALSE,0,TRUE
QPCT,13,2,1;2,3;4;5,TRUE,58.1,FALSE
GUK1,31,5,1;2;3;4;5,,FALSE,0,TRUE
HAGH,31,5,1;2;3;4;5,,FALSE,0,TRUE
HIST2H2AC,31,5,1;2;3;4;5,,FALSE,0,TRUE
LAMA3,31,5,1;2;3;4;5,,FALSE,0,TRUE
NDUFA9,31,5,1;2;3;4;5,,FALSE,0,TRUE
ME3,31,5,1;2;3;4;5,,FALSE,0,TRUE
PCK2,31,5,1;2;3;4;5,,FALSE,0,TRUE
UPP1,31,5,1;2;3;4;5,,FALSE,0,TRUE
DDR2,13,2,1;2,3;4;5,TRUE,58.1,FALSE
HADH,31,5,1;2;3;4;5,,FALSE,0,TRUE
CYP51A1,31,5,1;2;3;4;5,,FALSE,0,TRUE
UGP2,31,5,1;2;3;4;5,,FALSE,0,TRUE
DGUOK,31,5,1;2;3;4;5,,FALSE,0,TRUE
ATP6V1F,31,5,1;2;3;4;5,,FALSE,0,TRUE
PFKFB3,31,5,1;2;3;4;5,,FALSE,0,TRUE
UGT8,19,3,2;4;5,1;3,TRUE,38.7,TRUE
TXNRD1,31,5,1;2;3;4;5,,FALSE,0,TRUE
TPD52L1,31,5,1;2;3;4;5,,FALSE,0,TRUE
IMMT,31,5,1;2;3;4;5,,FALSE,0,TRUE
TATDN3,31,5,1;2;3;4;5,,FALSE,0,TRUE
FAM98C,24,4,1;2;3;4,5,TRUE,22.6,TRUE
KNOP1,31,5,1;2;3;4;5,,FALSE,0,TRUE
HNRNPUL2,31,5,1;2;3;4;5,,FALSE,0,TRUE
MSMP,25,4,1;3;4;5,2,TRUE,19.4,TRUE
TMEM132A,31,5,1;2;3;4;5,,FALSE,0,TRUE
INF2,31,5,1;2;3;4;5,,FALSE,0,TRUE
HLA-B|Q29836,0,0,,1;2;3;4;5,TRUE,100,FALSE
MICB,31,5,1;2;3;4;5,,FALSE,0,TRUE
MICA,31,5,1;2;3;4;5,,FALSE,0,TRUE
PDS5A,31,5,1;2;3;4;5,,FALSE,0,TRUE
QSER1,31,5,1;2;3;4;5,,FALSE,0,TRUE
KIAA1109,19,3,2;4;5,1;3,TRUE,38.7,TRUE
KIF7,12,2,3;5,1;2;4,TRUE,61.3,FALSE
MTHFSD,25,4,1;3;4;5,2,TRUE,19.4,TRUE
AAK1,31,5,1;2;3;4;5,,FALSE,0,TRUE
WASHC4,31,5,1;2;3;4;5,,FALSE,0,TRUE
SHROOM1,13,2,1;2,3;4;5,TRUE,58.1,FALSE
ERCC6L,31,5,1;2;3;4;5,,FALSE,0,TRUE
TSR1,31,5,1;2;3;4;5,,FALSE,0,TRUE
RALGAPA2,31,5,1;2;3;4;5,,FALSE,0,TRUE
DPY19L1,24,4,1;2;3;4,5,TRUE,22.6,TRUE
TYSND1,31,5,1;2;3;4;5,,FALSE,0,TRUE
IAH1,31,5,1;2;3;4;5,,FALSE,0,TRUE
ALG11,31,5,1;2;3;4;5,,FALSE,0,TRUE
QRICH1,31,5,1;2;3;4;5,,FALSE,0,TRUE
TUSC1,31,5,1;2;3;4;5,,FALSE,0,TRUE
SMU1,31,5,1;2;3;4;5,,FALSE,0,TRUE
ATG2A,25,4,1;2;3;5,4,TRUE,19.4,TRUE
ZNF800,31,5,1;2;3;4;5,,FALSE,0,TRUE
HKDC1,31,5,1;2;3;4;5,,FALSE,0,TRUE
CWF19L2,31,5,1;2;3;4;5,,FALSE,0,TRUE
CTU2,25,4,1;3;4;5,2,TRUE,19.4,TRUE
SLC4A8,6,1,2,1;3;4;5,TRUE,80.6,FALSE
HLA-DRB5,0,0,,1;2;3;4;5,TRUE,100,FALSE
HFE,18,3,1;2;3,4;5,TRUE,41.9,TRUE
HLA-B|Q31612,0,0,,1;2;3;4;5,TRUE,100,FALSE
MYLK3,7,1,1,2;3;4;5,TRUE,77.4,FALSE
LRRFIP1,31,5,1;2;3;4;5,,FALSE,0,TRUE
PGS1,31,5,1;2;3;4;5,,FALSE,0,TRUE
C18orf21,31,5,1;2;3;4;5,,FALSE,0,TRUE
P3H1,31,5,1;2;3;4;5,,FALSE,0,TRUE
TRMT5,31,5,1;2;3;4;5,,FALSE,0,TRUE
EML3,31,5,1;2;3;4;5,,FALSE,0,TRUE
NDUFAF6,31,5,1;2;3;4;5,,FALSE,0,TRUE
TWISTNB,31,5,1;2;3;4;5,,FALSE,0,TRUE
EDRF1,24,4,1;2;3;4,5,TRUE,22.6,TRUE
INAVA,26,4,1;2;4;5,3,TRUE,16.1,TRUE
MAP7D1,31,5,1;2;3;4;5,,FALSE,0,TRUE
UAP1L1,31,5,1;2;3;4;5,,FALSE,0,TRUE
SLC25A35,6,1,4,1;2;3;5,TRUE,80.6,FALSE
C2orf76,12,2,1;3,2;4;5,TRUE,61.3,FALSE
ALKBH6,13,2,1;2,3;4;5,TRUE,58.1,FALSE
CHD9,13,2,4;5,1;2;3,TRUE,58.1,FALSE
TKFC,31,5,1;2;3;4;5,,FALSE,0,TRUE
LSM12,31,5,1;2;3;4;5,,FALSE,0,TRUE
ITPRIPL2,24,4,2;3;4;5,1,TRUE,22.6,TRUE
TMEM30B,11,2,3;4,1;2;5,TRUE,64.5,FALSE
ADCK5,19,3,2;4;5,1;3,TRUE,38.7,TRUE
HSDL1,31,5,1;2;3;4;5,,FALSE,0,TRUE
ARL13B,31,5,1;2;3;4;5,,FALSE,0,TRUE
ZNF718,31,5,1;2;3;4;5,,FALSE,0,TRUE
ALDH1L2,31,5,1;2;3;4;5,,FALSE,0,TRUE
GNPTAB,31,5,1;2;3;4;5,,FALSE,0,TRUE
CCDC88A,31,5,1;2;3;4;5,,FALSE,0,TRUE
TBRG1,7,1,5,1;2;3;4,TRUE,77.4,FALSE
RABL6,31,5,1;2;3;4;5,,FALSE,0,TRUE
TIMM50,31,5,1;2;3;4;5,,FALSE,0,TRUE
ZNF260,25,4,1;3;4;5,2,TRUE,19.4,TRUE
LGALSL,31,5,1;2;3;4;5,,FALSE,0,TRUE
PARP14,31,5,1;2;3;4;5,,FALSE,0,TRUE
FUT11,25,4,1;3;4;5,2,TRUE,19.4,TRUE
ZNF672,13,2,2;5,1;3;4,TRUE,58.1,FALSE
GLYR1,31,5,1;2;3;4;5,,FALSE,0,TRUE
C5orf22,31,5,1;2;3;4;5,,FALSE,0,TRUE
COX19,31,5,1;2;3;4;5,,FALSE,0,TRUE
KMT5B,13,2,1;4,2;3;5,TRUE,58.1,FALSE
VPS26B,31,5,1;2;3;4;5,,FALSE,0,TRUE
CCSMST1,31,5,1;2;3;4;5,,FALSE,0,TRUE
LARP7,31,5,1;2;3;4;5,,FALSE,0,TRUE
NADK2,31,5,1;2;3;4;5,,FALSE,0,TRUE
KCTD21,6,1,4,1;2;3;5,TRUE,80.6,FALSE
GXYLT1,31,5,1;2;3;4;5,,FALSE,0,TRUE
ACSF3,31,5,1;2;3;4;5,,FALSE,0,TRUE
PREPL,31,5,1;2;3;4;5,,FALSE,0,TRUE
TBC1D10B,31,5,1;2;3;4;5,,FALSE,0,TRUE
TPRN,31,5,1;2;3;4;5,,FALSE,0,TRUE
ANO6,31,5,1;2;3;4;5,,FALSE,0,TRUE
FILIP1L,18,3,3;4;5,1;2,TRUE,41.9,TRUE
DNAL1,19,3,1;2;4,3;5,TRUE,38.7,TRUE
ARID4B,31,5,1;2;3;4;5,,FALSE,0,TRUE
MRPL51,31,5,1;2;3;4;5,,FALSE,0,TRUE
GRIPAP1,31,5,1;2;3;4;5,,FALSE,0,TRUE
ZNF658B,20,3,1;4;5,2;3,TRUE,35.5,TRUE
BCL7A,31,5,1;2;3;4;5,,FALSE,0,TRUE
CCDC58,31,5,1;2;3;4;5,,FALSE,0,TRUE
FLYWCH1,6,1,2,1;3;4;5,TRUE,80.6,FALSE
AMOT,24,4,2;3;4;5,1,TRUE,22.6,TRUE
TMEM259,24,4,1;2;3;4,5,TRUE,22.6,TRUE
LIN52,24,4,2;3;4;5,1,TRUE,22.6,TRUE
FAM98B,31,5,1;2;3;4;5,,FALSE,0,TRUE
EPC2,31,5,1;2;3;4;5,,FALSE,0,TRUE
ARHGAP29,31,5,1;2;3;4;5,,FALSE,0,TRUE
PDCD4,31,5,1;2;3;4;5,,FALSE,0,TRUE
FNDC3B,31,5,1;2;3;4;5,,FALSE,0,TRUE
CRTC2,31,5,1;2;3;4;5,,FALSE,0,TRUE
GPAT3,31,5,1;2;3;4;5,,FALSE,0,TRUE
CEP55,31,5,1;2;3;4;5,,FALSE,0,TRUE
NCBP3,31,5,1;2;3;4;5,,FALSE,0,TRUE
TP53I3,31,5,1;2;3;4;5,,FALSE,0,TRUE
HIKESHI,19,3,1;2;4,3;5,TRUE,38.7,TRUE
ORMDL2,18,3,3;4;5,1;2,TRUE,41.9,TRUE
ACSM3,25,4,1;2;3;5,4,TRUE,19.4,TRUE
KLHL12,7,1,5,1;2;3;4,TRUE,77.4,FALSE
PARP10,31,5,1;2;3;4;5,,FALSE,0,TRUE
HSD17B12,31,5,1;2;3;4;5,,FALSE,0,TRUE
GLE1,31,5,1;2;3;4;5,,FALSE,0,TRUE
USP39,31,5,1;2;3;4;5,,FALSE,0,TRUE
KLHL22,7,1,5,1;2;3;4,TRUE,77.4,FALSE
AGK,31,5,1;2;3;4;5,,FALSE,0,TRUE
LACTB2,31,5,1;2;3;4;5,,FALSE,0,TRUE
PYCR3,31,5,1;2;3;4;5,,FALSE,0,TRUE
CCDC92,6,1,4,1;2;3;5,TRUE,80.6,FALSE
EIPR1,31,5,1;2;3;4;5,,FALSE,0,TRUE
CDCA8,31,5,1;2;3;4;5,,FALSE,0,TRUE
SOWAHC,31,5,1;2;3;4;5,,FALSE,0,TRUE
FASTKD1,31,5,1;2;3;4;5,,FALSE,0,TRUE
BOLA3,31,5,1;2;3;4;5,,FALSE,0,TRUE
TMEM177,26,4,1;2;4;5,3,TRUE,16.1,TRUE
COBLL1,31,5,1;2;3;4;5,,FALSE,0,TRUE
HS1BP3,31,5,1;2;3;4;5,,FALSE,0,TRUE
CYBRD1,31,5,1;2;3;4;5,,FALSE,0,TRUE
WDR81,31,5,1;2;3;4;5,,FALSE,0,TRUE
SGO2,19,3,2;4;5,1;3,TRUE,38.7,TRUE
ACTBL2,31,5,1;2;3;4;5,,FALSE,0,TRUE
CCDC93,31,5,1;2;3;4;5,,FALSE,0,TRUE
ESCO2,31,5,1;2;3;4;5,,FALSE,0,TRUE
EAPP,31,5,1;2;3;4;5,,FALSE,0,TRUE
OCIAD2,31,5,1;2;3;4;5,,FALSE,0,TRUE
SFT2D3,31,5,1;2;3;4;5,,FALSE,0,TRUE
NAALADL2,20,3,1;4;5,2;3,TRUE,35.5,TRUE
BRDT,14,2,1;5,2;3;4,TRUE,54.8,FALSE
HSP90AB4P,6,1,2,1;3;4;5,TRUE,80.6,FALSE
HSP90AB2P,31,5,1;2;3;4;5,,FALSE,0,TRUE
HSP90AA4P,31,5,1;2;3;4;5,,FALSE,0,TRUE
DCAF6,31,5,1;2;3;4;5,,FALSE,0,TRUE
TMEM41B,31,5,1;2;3;4;5,,FALSE,0,TRUE
ODF2,31,5,1;2;3;4;5,,FALSE,0,TRUE
YIF1B,24,4,2;3;4;5,1,TRUE,22.6,TRUE
OXLD1,31,5,1;2;3;4;5,,FALSE,0,TRUE
SLC45A4,31,5,1;2;3;4;5,,FALSE,0,TRUE
FAM133B,31,5,1;2;3;4;5,,FALSE,0,TRUE
ZNF326,31,5,1;2;3;4;5,,FALSE,0,TRUE
NOM1,31,5,1;2;3;4;5,,FALSE,0,TRUE
MEST,19,3,2;4;5,1;3,TRUE,38.7,TRUE
RILPL1,31,5,1;2;3;4;5,,FALSE,0,TRUE
PDZD11,31,5,1;2;3;4;5,,FALSE,0,TRUE
CMPK2,31,5,1;2;3;4;5,,FALSE,0,TRUE
CARD16,14,2,1;5,2;3;4,TRUE,54.8,FALSE
DNAJC21,31,5,1;2;3;4;5,,FALSE,0,TRUE
SGO1,24,4,2;3;4;5,1,TRUE,22.6,TRUE
ESCO1,24,4,2;3;4;5,1,TRUE,22.6,TRUE
HERC4,31,5,1;2;3;4;5,,FALSE,0,TRUE
PIGG,31,5,1;2;3;4;5,,FALSE,0,TRUE
BCORL1,18,3,2;3;5,1;4,TRUE,41.9,TRUE
PPP6R3,31,5,1;2;3;4;5,,FALSE,0,TRUE
DDX60L,6,1,2,1;3;4;5,TRUE,80.6,FALSE
MTX3,31,5,1;2;3;4;5,,FALSE,0,TRUE
RABL3,31,5,1;2;3;4;5,,FALSE,0,TRUE
FAM76B,31,5,1;2;3;4;5,,FALSE,0,TRUE
COQ5,31,5,1;2;3;4;5,,FALSE,0,TRUE
SH3D19,31,5,1;2;3;4;5,,FALSE,0,TRUE
CRB2,19,3,2;4;5,1;3,TRUE,38.7,TRUE
EMC4,31,5,1;2;3;4;5,,FALSE,0,TRUE
NOMO2,31,5,1;2;3;4;5,,FALSE,0,TRUE
EARS2,31,5,1;2;3;4;5,,FALSE,0,TRUE
C3orf38,31,5,1;2;3;4;5,,FALSE,0,TRUE
EEF1AKMT2,20,3,1;2;5,3;4,TRUE,35.5,TRUE
MIA3,31,5,1;2;3;4;5,,FALSE,0,TRUE
PITRM1,31,5,1;2;3;4;5,,FALSE,0,TRUE
NHLRC3,31,5,1;2;3;4;5,,FALSE,0,TRUE
PSMG4,31,5,1;2;3;4;5,,FALSE,0,TRUE
WDR44,31,5,1;2;3;4;5,,FALSE,0,TRUE
PRRC2B,31,5,1;2;3;4;5,,FALSE,0,TRUE
TJAP1,31,5,1;2;3;4;5,,FALSE,0,TRUE
RRP12,31,5,1;2;3;4;5,,FALSE,0,TRUE
COA6,31,5,1;2;3;4;5,,FALSE,0,TRUE
TOR1AIP1,31,5,1;2;3;4;5,,FALSE,0,TRUE
AARS2,31,5,1;2;3;4;5,,FALSE,0,TRUE
TOR2A,31,5,1;2;3;4;5,,FALSE,0,TRUE
IQSEC2,6,1,2,1;3;4;5,TRUE,80.6,FALSE
TEX30,20,3,1;4;5,2;3,TRUE,35.5,TRUE
PCID2,31,5,1;2;3;4;5,,FALSE,0,TRUE
HABP4,31,5,1;2;3;4;5,,FALSE,0,TRUE
SLC27A3,31,5,1;2;3;4;5,,FALSE,0,TRUE
SAMD9,31,5,1;2;3;4;5,,FALSE,0,TRUE
COLEC12,17,3,2;3;4,1;5,TRUE,45.2,TRUE
SPECC1,31,5,1;2;3;4;5,,FALSE,0,TRUE
PPP4R3B,31,5,1;2;3;4;5,,FALSE,0,TRUE
WDR45B,31,5,1;2;3;4;5,,FALSE,0,TRUE
WIPI1,31,5,1;2;3;4;5,,FALSE,0,TRUE
EOGT,31,5,1;2;3;4;5,,FALSE,0,TRUE
FFAR4,6,1,4,1;2;3;5,TRUE,80.6,FALSE
SAMD4B,31,5,1;2;3;4;5,,FALSE,0,TRUE
BRMS1L,31,5,1;2;3;4;5,,FALSE,0,TRUE
TBCEL,31,5,1;2;3;4;5,,FALSE,0,TRUE
DNTTIP2,31,5,1;2;3;4;5,,FALSE,0,TRUE
HIST2H2BF,31,5,1;2;3;4;5,,FALSE,0,TRUE
DCAF10,31,5,1;2;3;4;5,,FALSE,0,TRUE
RABGAP1L|Q5R372,31,5,1;2;3;4;5,,FALSE,0,TRUE
TTC38,31,5,1;2;3;4;5,,FALSE,0,TRUE
COX20,31,5,1;2;3;4;5,,FALSE,0,TRUE
EXOSC6,31,5,1;2;3;4;5,,FALSE,0,TRUE
PPM1L,26,4,1;2;4;5,3,TRUE,16.1,TRUE
TMEM201,31,5,1;2;3;4;5,,FALSE,0,TRUE
SNAP47,13,2,2;5,1;3;4,TRUE,58.1,FALSE
NUP188,31,5,1;2;3;4;5,,FALSE,0,TRUE
PHYHD1,6,1,2,1;3;4;5,TRUE,80.6,FALSE
TTC39A,20,3,1;2;5,3;4,TRUE,35.5,TRUE
HP1BP3,31,5,1;2;3;4;5,,FALSE,0,TRUE
VARS2,31,5,1;2;3;4;5,,FALSE,0,TRUE
SLC25A30,31,5,1;2;3;4;5,,FALSE,0,TRUE
ZMYM1,31,5,1;2;3;4;5,,FALSE,0,TRUE
CEP170,31,5,1;2;3;4;5,,FALSE,0,TRUE
LDLRAP1,31,5,1;2;3;4;5,,FALSE,0,TRUE
PPP1R15B,12,2,2;4,1;3;5,TRUE,61.3,FALSE
ODR4,31,5,1;2;3;4;5,,FALSE,0,TRUE
DNLZ,31,5,1;2;3;4;5,,FALSE,0,TRUE
NOL9,31,5,1;2;3;4;5,,FALSE,0,TRUE
NHSL1,31,5,1;2;3;4;5,,FALSE,0,TRUE
HYI,12,2,3;5,1;2;4,TRUE,61.3,FALSE
ZNF362,24,4,2;3;4;5,1,TRUE,22.6,TRUE
TPRG1L,31,5,1;2;3;4;5,,FALSE,0,TRUE
CC2D1B,31,5,1;2;3;4;5,,FALSE,0,TRUE
FNBP1L,31,5,1;2;3;4;5,,FALSE,0,TRUE
FAM83B,31,5,1;2;3;4;5,,FALSE,0,TRUE
C6orf132,31,5,1;2;3;4;5,,FALSE,0,TRUE
RARS2,31,5,1;2;3;4;5,,FALSE,0,TRUE
THEM4,31,5,1;2;3;4;5,,FALSE,0,TRUE
FKBP15,31,5,1;2;3;4;5,,FALSE,0,TRUE
DDX59,26,4,1;2;4;5,3,TRUE,16.1,TRUE
ZC3H13,31,5,1;2;3;4;5,,FALSE,0,TRUE
SPOUT1,31,5,1;2;3;4;5,,FALSE,0,TRUE
ARMH3,31,5,1;2;3;4;5,,FALSE,0,TRUE
MPP7,31,5,1;2;3;4;5,,FALSE,0,TRUE
PDZK1,31,5,1;2;3;4;5,,FALSE,0,TRUE
TMEM63B,31,5,1;2;3;4;5,,FALSE,0,TRUE
GPATCH4,31,5,1;2;3;4;5,,FALSE,0,TRUE
LRIF1,31,5,1;2;3;4;5,,FALSE,0,TRUE
IBA57,31,5,1;2;3;4;5,,FALSE,0,TRUE
HECTD3,31,5,1;2;3;4;5,,FALSE,0,TRUE
CERCAM,31,5,1;2;3;4;5,,FALSE,0,TRUE
TMTC4,12,2,2;4,1;3;5,TRUE,61.3,FALSE
ZFYVE27,25,4,1;2;3;5,4,TRUE,19.4,TRUE
UBR4,31,5,1;2;3;4;5,,FALSE,0,TRUE
STXBP5,25,4,1;3;4;5,2,TRUE,19.4,TRUE
KIAA1217,31,5,1;2;3;4;5,,FALSE,0,TRUE
ARHGAP21,31,5,1;2;3;4;5,,FALSE,0,TRUE
BEND3,31,5,1;2;3;4;5,,FALSE,0,TRUE
CAMSAP1,31,5,1;2;3;4;5,,FALSE,0,TRUE
ADGRF1,31,5,1;2;3;4;5,,FALSE,0,TRUE
MRPL2,31,5,1;2;3;4;5,,FALSE,0,TRUE
UBAP2,31,5,1;2;3;4;5,,FALSE,0,TRUE
C9orf64,31,5,1;2;3;4;5,,FALSE,0,TRUE
FAM69A,31,5,1;2;3;4;5,,FALSE,0,TRUE
L1TD1,7,1,5,1;2;3;4,TRUE,77.4,FALSE
KANK4,14,2,1;5,2;3;4,TRUE,54.8,FALSE
GORAB,31,5,1;2;3;4;5,,FALSE,0,TRUE
ZNF618,31,5,1;2;3;4;5,,FALSE,0,TRUE
ACBD5,31,5,1;2;3;4;5,,FALSE,0,TRUE
RBM26,31,5,1;2;3;4;5,,FALSE,0,TRUE
ATAD3B,31,5,1;2;3;4;5,,FALSE,0,TRUE
WLS,31,5,1;2;3;4;5,,FALSE,0,TRUE
CCDC18,26,4,1;2;4;5,3,TRUE,16.1,TRUE
INTS11,31,5,1;2;3;4;5,,FALSE,0,TRUE
DCAF8,31,5,1;2;3;4;5,,FALSE,0,TRUE
TUT4,31,5,1;2;3;4;5,,FALSE,0,TRUE
RNASEH2B,31,5,1;2;3;4;5,,FALSE,0,TRUE
ATPAF1,31,5,1;2;3;4;5,,FALSE,0,TRUE
RC3H1,31,5,1;2;3;4;5,,FALSE,0,TRUE
OGFRL1,31,5,1;2;3;4;5,,FALSE,0,TRUE
MAP3K21,7,1,5,1;2;3;4,TRUE,77.4,FALSE
SH3PXD2A,6,1,2,1;3;4;5,TRUE,80.6,FALSE
DDI2,31,5,1;2;3;4;5,,FALSE,0,TRUE
THEMIS2,6,1,2,1;3;4;5,TRUE,80.6,FALSE
NDUFAF5,31,5,1;2;3;4;5,,FALSE,0,TRUE
NT5DC1,31,5,1;2;3;4;5,,FALSE,0,TRUE
AHDC1,31,5,1;2;3;4;5,,FALSE,0,TRUE
MINOS1,31,5,1;2;3;4;5,,FALSE,0,TRUE
ARFGEF3,20,3,1;2;5,3;4,TRUE,35.5,TRUE
VPS13D,13,2,1;4,2;3;5,TRUE,58.1,FALSE
PRR14L,24,4,1;2;3;4,5,TRUE,22.6,TRUE
LIN9,31,5,1;2;3;4;5,,FALSE,0,TRUE
CROCC,31,5,1;2;3;4;5,,FALSE,0,TRUE
MEX3C,6,1,2,1;3;4;5,TRUE,80.6,FALSE
LYRM7,31,5,1;2;3;4;5,,FALSE,0,TRUE
EMC10,31,5,1;2;3;4;5,,FALSE,0,TRUE
RIF1,31,5,1;2;3;4;5,,FALSE,0,TRUE
VPS53,31,5,1;2;3;4;5,,FALSE,0,TRUE
STRIP1,31,5,1;2;3;4;5,,FALSE,0,TRUE
ABHD17B,31,5,1;2;3;4;5,,FALSE,0,TRUE
CDC42BPA,31,5,1;2;3;4;5,,FALSE,0,TRUE
RPRD2,31,5,1;2;3;4;5,,FALSE,0,TRUE
MARC1,31,5,1;2;3;4;5,,FALSE,0,TRUE
ANXA8L1,18,3,3;4;5,1;2,TRUE,41.9,TRUE
RNF220,31,5,1;2;3;4;5,,FALSE,0,TRUE
ANGEL2,31,5,1;2;3;4;5,,FALSE,0,TRUE
KLHDC7A,11,2,2;3,1;4;5,TRUE,64.5,FALSE
PRPF38B,31,5,1;2;3;4;5,,FALSE,0,TRUE
RNF20,31,5,1;2;3;4;5,,FALSE,0,TRUE
PDE4DIP,31,5,1;2;3;4;5,,FALSE,0,TRUE
DCAF12L1,25,4,1;2;3;5,4,TRUE,19.4,TRUE
CACHD1,7,1,5,1;2;3;4,TRUE,77.4,FALSE
ZNF318,31,5,1;2;3;4;5,,FALSE,0,TRUE
C1orf53,31,5,1;2;3;4;5,,FALSE,0,TRUE
SDHAF4,31,5,1;2;3;4;5,,FALSE,0,TRUE
ARHGEF16,31,5,1;2;3;4;5,,FALSE,0,TRUE
CDKAL1,31,5,1;2;3;4;5,,FALSE,0,TRUE
ZNF691,31,5,1;2;3;4;5,,FALSE,0,TRUE
